,index,Country Name,Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,0.69959515,0.69961786,0.6996218,0.6996377,0.6996446,0.699623422
1,1,Albania,ALB,0.54220194,0.542146,0.54210234,0.5420571,0.5420086,0.542103196
2,2,Algeria,DZA,0.75634015,0.75632703,0.7563117,0.7562944,0.7562755,0.756309756
3,5,Angola,AGO,0.55389977,0.55390006,0.55390006,0.5538997,0.5538995,0.553899818
4,8,Armenia,ARM,0.5417096,0.541649,0.54158723,0.5415265,0.541465,0.541587466
5,9,Australia,AUS,1.1250105,1.12502,1.1250321,1.125041,1.1250612,1.12503296
6,10,Austria,AUT,0.9011552,0.90091336,0.9007627,0.90060717,0.90043485,0.900774656
7,11,Azerbaijan,AZE,0.52231205,0.5222714,0.52223,0.5221863,0.52214134,0.522228218
8,12,Bahamas,BHS,0.89927167,0.8992594,0.89924705,0.89923733,0.8992322,0.89924953
9,13,Bahrain,BHR,0.7783771,0.7790424,0.7798653,0.78070796,0.78144014,0.77988658
10,14,Bangladesh,BGD,0.38948515,0.3894343,0.38938674,0.3893429,0.38930306,0.38939043
11,15,Barbados,BRB,0.9330644,0.9330169,0.932965,0.9329092,0.9328537,0.93296184
12,16,Belarus,BLR,0.52105135,0.5210136,0.5209698,0.52092916,0.5208894,0.520970662
13,17,Belgium,BEL,0.900407,0.90038335,0.90036076,0.900339,0.90031374,0.90036077
14,18,Belize,BLZ,0.9073512,0.9073933,0.90743446,0.9074714,0.9075041,0.907430892
15,19,Benin,BEN,0.5456036,0.5455945,0.54558605,0.54557824,0.5455701,0.545586498
16,21,Bhutan,BTN,0.3925432,0.39248458,0.39241844,0.39234978,0.39228165,0.39241553
17,22,Bolivia,BOL,0.887211,0.88718724,0.8871646,0.8871435,0.88712376,0.88716602
18,23,Bosnia and Herzegovina,BIH,0.54883975,0.5488675,0.5488927,0.54891616,0.5489406,0.548891342
19,24,Botswana,BWA,0.540917,0.54091257,0.54090756,0.54090244,0.54089737,0.540907388
20,25,Brazil,BRA,1.1120592,1.1120119,1.1119626,1.1119095,1.1118531,1.11195926
21,26,Brunei,BRN,0.606656,0.6066371,0.6065785,0.6065052,0.60645264,0.606565888
22,27,Bulgaria,BGR,0.4664348,0.4664225,0.4664138,0.46640617,0.46639755,0.466414964
23,28,Burkina Faso,BFA,0.535348,0.5353459,0.53534377,0.53534156,0.5353396,0.535343766
24,29,Burundi,BDI,0.5794212,0.57942027,0.5794142,0.57940906,0.5794055,0.579414046
25,30,Cambodia,KHM,0.31804135,0.31801122,0.31798357,0.31796005,0.3179395,0.317987138
26,31,Cameroon,CMR,0.5344484,0.534445,0.5344416,0.5344389,0.5344366,0.5344421
27,32,Canada,CAN,0.8053428,0.8053236,0.80529726,0.80527705,0.8052512,0.805298382
28,33,Cape Verde,CPV,0.57819664,0.5781383,0.5780848,0.57804316,0.5780113,0.57809484
29,34,Central African Republic,CAF,0.5299499,0.52994525,0.5299407,0.529935,0.5299282,0.52993981
30,35,Chad,TCD,0.53775096,0.53775036,0.53774995,0.5377498,0.53775066,0.537750346
31,36,Chile,CHL,0.9953073,0.9952928,0.99526083,0.9952146,0.9951639,0.995247886
32,37,China,CHN,0.1818321,0.18180573,0.1817923,0.18179223,0.18180744,0.18180596
33,38,Colombia,COL,0.7403241,0.7401854,0.73997295,0.73987126,0.7398617,0.740043082
34,40,Congo,COG,0.54537576,0.5453658,0.54535526,0.5453446,0.545334,0.545355084
35,41,Costa Rica,CRI,0.8724728,0.8725493,0.87261367,0.87266445,0.8727019,0.872600424
36,42,Cote d'Ivoire,CIV,0.5315788,0.53157127,0.5315629,0.53155416,0.5315454,0.531562506
37,43,Croatia,HRV,0.5451007,0.5450728,0.5450407,0.54501355,0.5449874,0.54504303
38,45,Cyprus,CYP,0.9101596,0.9102467,0.91031796,0.9103745,0.9104203,0.910303812
39,46,Czechia,CZE,0.54724824,0.547219,0.5471923,0.547169,0.54714864,0.547195436
40,47,Democratic Republic of Congo,COD,0.556526,0.5565265,0.556527,0.55652755,0.55652803,0.556527016
41,48,Denmark,DNK,0.94074917,0.94062287,0.9405177,0.94039935,0.94029397,0.940516612
42,49,Djibouti,DJI,0.6073283,0.6073187,0.6073101,0.60730255,0.60729665,0.60731126
43,51,Dominican Republic,DOM,0.9101655,0.91014826,0.9101331,0.91011876,0.910109,0.910134924
44,52,East Timor,TLS,0.31594095,0.31595463,0.31597155,0.31598878,0.31600568,0.315972318
45,53,Ecuador,ECU,0.90808165,0.90796834,0.9078061,0.907703,0.90765,0.907841818
46,54,Egypt,EGY,0.72426695,0.7241717,0.7240791,0.72399354,0.72391546,0.72408535
47,55,El Salvador,SLV,0.8263401,0.82627296,0.8261648,0.82604295,0.8259098,0.826146122
48,56,Equatorial Guinea,GNQ,0.5533111,0.5533188,0.55332834,0.55333936,0.55335176,0.553329872
49,58,Estonia,EST,0.52308995,0.523013,0.5229302,0.5228586,0.5227906,0.52293647
50,59,Eswatini,SWZ,0.53467923,0.53467375,0.53466743,0.5346607,0.5346536,0.534666942
51,60,Ethiopia,ETH,0.6144103,0.61440104,0.6143923,0.6143841,0.6143768,0.614392908
52,61,Fiji,FJI,0.27466592,0.27465728,0.2746492,0.2746417,0.274635,0.27464982
53,62,Finland,FIN,0.89060366,0.890508,0.89043283,0.89036083,0.8902839,0.890437844
54,63,France,FRA,0.90414417,0.90416116,0.9041692,0.90416944,0.90416586,0.904161966
55,64,Gabon,GAB,0.5621972,0.56219935,0.56220305,0.56220764,0.5622134,0.562204128
56,65,Gambia,GMB,0.54847974,0.54847974,0.5484799,0.54848,0.54847974,0.548479824
57,66,Georgia,GEO,0.5249459,0.5248707,0.52479917,0.5247313,0.5246634,0.524802094
58,67,Germany,DEU,0.74880296,0.74828607,0.7477406,0.74727356,0.7469019,0.747801018
59,68,Ghana,GHA,0.5439322,0.5439334,0.5439343,0.5439347,0.54393464,0.543933848
60,69,Greece,GRC,0.90648717,0.9066465,0.90673256,0.9068066,0.90686923,0.906708412
61,73,Guatemala,GTM,0.8008448,0.80072063,0.80059695,0.8004755,0.80035627,0.80059883
62,74,Guinea,GIN,0.5372907,0.5372822,0.537274,0.5372661,0.53725857,0.537274314
63,75,Guinea-Bissau,GNB,0.52663803,0.52663636,0.5266346,0.526633,0.52663183,0.526634764
64,76,Guyana,GUY,0.8701077,0.87002397,0.8697839,0.8696931,0.8697546,0.869872654
65,77,Haiti,HTI,0.84414774,0.84408164,0.8440158,0.84395117,0.8438882,0.84401691
66,78,Honduras,HND,0.81211436,0.8121209,0.8120988,0.8120671,0.81202614,0.81208546
67,79,Hungary,HUN,0.53766483,0.5376248,0.53758806,0.53755033,0.5375118,0.537587964
68,80,Iceland,ISL,0.9098578,0.9094681,0.90899944,0.9086723,0.9084446,0.909088448
69,81,India,IND,0.35408863,0.3541006,0.35411307,0.35412675,0.3541412,0.35411405
70,82,Indonesia,IDN,0.33065367,0.33064494,0.3306338,0.330622,0.33060965,0.330632812
71,83,Iran,IRN,0.8175256,0.8174364,0.81734693,0.8172588,0.81717443,0.817348432
72,84,Iraq,IRQ,0.67638224,0.6764379,0.6764812,0.6765096,0.6765268,0.676467548
73,85,Ireland,IRL,0.701208,0.7012379,0.7012676,0.70127773,0.701279,0.701254046
74,86,Israel,ISR,1.0518651,1.0517591,1.0516589,1.0515593,1.0514655,1.05166158
75,87,Italy,ITA,0.89417624,0.8940325,0.89384913,0.8936658,0.89349115,0.893842964
76,88,Jamaica,JAM,0.9439137,0.9438409,0.9437715,0.94370544,0.9436392,0.943774148
77,89,Japan,JPN,0.64428896,0.6442932,0.6442936,0.6442909,0.6442883,0.644290992
78,90,Jordan,JOR,0.78236514,0.782183,0.78203326,0.7819301,0.7818655,0.7820754
79,91,Kazakhstan,KAZ,0.50756085,0.50752777,0.5074906,0.50745267,0.50741726,0.50748983
80,92,Kenya,KEN,0.6019044,0.60186136,0.60181737,0.6017732,0.60172975,0.601817216
81,94,Kuwait,KWT,0.8074011,0.80818236,0.80890703,0.80962014,0.81019646,0.808861418
82,95,Kyrgyzstan,KGZ,0.5158184,0.5158032,0.51579076,0.5157792,0.51576376,0.515791064
83,96,Laos,LAO,0.32474154,0.32474506,0.32474825,0.3247498,0.32474777,0.324746484
84,97,Latvia,LVA,0.52036035,0.52029896,0.520236,0.5201707,0.5201065,0.520234502
85,98,Lebanon,LBN,0.9408383,0.9409578,0.9410554,0.9411305,0.94117516,0.941031432
86,99,Lesotho,LSO,0.53217065,0.53217417,0.532177,0.53217906,0.5321807,0.532176316
87,102,Lithuania,LTU,0.52140284,0.52134776,0.5212882,0.5212202,0.5211538,0.52128256
88,103,Luxembourg,LUX,0.8963835,0.8962699,0.89622927,0.8961744,0.896122,0.896235814
89,104,Madagascar,MDG,0.59738475,0.5973825,0.5973802,0.59737813,0.59737605,0.597380326
90,105,Malawi,MWI,0.5774095,0.57739866,0.5773871,0.5773755,0.5773636,0.577386872
91,106,Malaysia,MYS,0.33945796,0.33943984,0.3394242,0.339409,0.33939177,0.339424554
92,107,Maldives,MDV,0.33909535,0.3389611,0.3388336,0.33871767,0.33861485,0.338844514
93,108,Mali,MLI,0.5419816,0.5419771,0.5419725,0.54196745,0.5419619,0.54197211
94,109,Malta,MLT,0.9124354,0.9123734,0.9122766,0.91221607,0.9121692,0.912294134
95,111,Mauritania,MRT,0.55609757,0.5560931,0.5560885,0.55608404,0.5560791,0.556088462
96,112,Mauritius,MUS,0.33749476,0.3374991,0.33750543,0.3375113,0.33751646,0.33750541
97,113,Mexico,MEX,0.91520077,0.9151132,0.91503173,0.9149546,0.9148764,0.91503534
98,114,Micronesia (country),FSM,0.26449427,0.26449245,0.26449198,0.26449212,0.26449215,0.264492594
99,115,Moldova,MDA,0.5183614,0.51833886,0.51831174,0.5182804,0.5182467,0.51830782
100,117,Mongolia,MNG,0.4999516,0.4999535,0.4999566,0.49995837,0.49995935,0.499955884
101,118,Montenegro,MNE,0.5410546,0.5410291,0.5410024,0.5409716,0.54094183,0.540999906
102,119,Morocco,MAR,0.74547994,0.7453733,0.745272,0.7451755,0.745084,0.745276948
103,120,Mozambique,MOZ,0.57855403,0.5785564,0.5785587,0.57856065,0.5785625,0.578558456
104,121,Myanmar,MMR,0.31671792,0.31671625,0.31671488,0.31671354,0.3167098,0.316714478
105,122,Namibia,NAM,0.5531902,0.55319226,0.553194,0.5531954,0.5531963,0.553193632
106,124,Nepal,NPL,0.3841128,0.38405192,0.38399762,0.38394907,0.38390607,0.384003496
107,125,Netherlands,NLD,0.7877236,0.7877106,0.7876932,0.7876696,0.78764594,0.787688588
108,126,New Zealand,NZL,1.5067282,1.5066881,1.5066189,1.5065308,1.5064018,1.50659356
109,127,Nicaragua,NIC,0.8519075,0.8518139,0.8517224,0.8516312,0.8515433,0.85172366
110,128,Niger,NER,0.54285264,0.5428518,0.5428495,0.5428484,0.54284483,0.542849434
111,129,Nigeria,NGA,0.55434287,0.5543175,0.5542925,0.5542683,0.5542446,0.554293154
112,130,North Korea,PRK,0.18197855,0.18196873,0.18195951,0.18194953,0.18194291,0.181959846
113,131,North Macedonia,MKD,0.54196477,0.5419295,0.5419033,0.54188126,0.5418609,0.541907946
114,133,Norway,NOR,0.8291418,0.8290058,0.82888865,0.82875776,0.8286233,0.828883462
115,134,Oman,OMN,0.68619406,0.6852686,0.68514025,0.68569195,0.68607295,0.685673562
116,135,Pakistan,PAK,0.38796896,0.38794965,0.3879311,0.38791358,0.38789725,0.387932108
117,137,Palestine,PSE,0.7909199,0.7908652,0.7908122,0.7907663,0.7907242,0.79081756
118,138,Panama,PAN,0.8499447,0.8497949,0.8496313,0.84956104,0.8495454,0.849695468
119,139,Papua New Guinea,PNG,0.26364994,0.26365197,0.26365343,0.26365557,0.263657,0.263653582
120,140,Paraguay,PRY,1.0898672,1.0898495,1.0898335,1.0898162,1.0898001,1.0898333
121,141,Peru,PER,0.9198055,0.9196848,0.91953087,0.9194334,0.91938907,0.919568728
122,142,Philippines,PHL,0.33697242,0.33696288,0.3369557,0.33695036,0.3369464,0.336957552
123,143,Poland,POL,0.5508126,0.5507802,0.550749,0.55071974,0.5506919,0.550750688
124,144,Portugal,PRT,0.8730353,0.8730472,0.8730484,0.8730411,0.87302935,0.87304027
125,146,Qatar,QAT,0.7437574,0.74382836,0.7440222,0.74428827,0.7445955,0.744098346
126,147,Romania,ROU,0.63739026,0.63735974,0.6373071,0.63725877,0.6372142,0.637306014
127,148,Russia,RUS,0.51419336,0.51416504,0.5141259,0.51409256,0.51406276,0.514127924
128,149,Rwanda,RWA,0.5887604,0.5887575,0.5887551,0.5887528,0.58875066,0.588755292
129,150,Saint Kitts and Nevis,KNA,0.9097336,0.9097775,0.9098225,0.90986764,0.90990686,0.90982162
130,151,Saint Lucia,LCA,0.92453843,0.924466,0.92439437,0.924326,0.92425954,0.924396868
131,152,Saint Vincent and the Grenadines,VCT,0.909054,0.9090527,0.90905243,0.9090532,0.9090553,0.909053526
132,153,Samoa,WSM,0.27474642,0.2747614,0.2747785,0.27479684,0.2748158,0.274779792
133,155,Sao Tome and Principe,STP,0.56484944,0.564842,0.56483614,0.5648317,0.56482846,0.564837548
134,156,Saudi Arabia,SAU,0.7628268,0.7626379,0.76247424,0.76234096,0.7622446,0.7625049
135,157,Senegal,SEN,0.5527781,0.5527699,0.5527615,0.5527529,0.55274326,0.552761132
136,158,Serbia,SRB,0.54047257,0.5404228,0.5403768,0.54033136,0.540287,0.540378106
137,160,Sierra Leone,SLE,0.53832996,0.53832525,0.53832054,0.53831583,0.53831226,0.538320768
138,161,Singapore,SGP,0.71811366,0.7184167,0.71907353,0.71953475,0.7197487,0.718977468
139,162,Slovakia,SVK,0.5424747,0.54242957,0.5423847,0.5423434,0.54230446,0.542387366
140,163,Slovenia,SVN,0.54683584,0.54681283,0.54679406,0.5467767,0.5467665,0.546797186
141,164,Solomon Islands,SLB,0.25486073,0.25485766,0.25485384,0.25484994,0.2548458,0.254853594
142,166,South Africa,ZAF,0.55698884,0.55699044,0.5569926,0.55699354,0.5569932,0.556991724
143,167,South Korea,KOR,0.50065994,0.50056434,0.50048304,0.5003912,0.5002964,0.500478984
144,169,Spain,ESP,0.9244504,0.9245631,0.92466897,0.9247574,0.92482716,0.924653406
145,170,Sri Lanka,LKA,0.33558363,0.3355842,0.33558396,0.33558547,0.33558726,0.335584904
146,171,Sudan,SDN,0.7322102,0.7320486,0.73192906,0.7318642,0.73181224,0.73197286
147,173,Sweden,SWE,0.97445,0.9743236,0.9741993,0.9740638,0.97393054,0.974193448
148,174,Switzerland,CHE,0.9421385,0.9420403,0.94194055,0.94183946,0.9417426,0.941940282
149,175,Syria,SYR,0.7733116,0.7739394,0.774231,0.77407384,0.77377516,0.7738662
150,177,Tanzania,TZA,0.5910771,0.59107065,0.5910641,0.5910572,0.59105045,0.5910639
151,178,Thailand,THA,0.3297895,0.32978442,0.32978046,0.32977578,0.32977024,0.32978008
152,179,Togo,TGO,0.53956616,0.53955376,0.53954107,0.5395296,0.5395201,0.539542138
153,180,Tonga,TON,0.28188312,0.28190577,0.2819293,0.281953,0.28197634,0.281929506
154,181,Trinidad and Tobago,TTO,0.908888,0.90886897,0.90885466,0.9088437,0.9088345,0.908857966
155,182,Tunisia,TUN,0.78797716,0.78794456,0.7879,0.78784466,0.787781,0.787889476
156,183,Turkey,TUR,0.7958346,0.795732,0.79568404,0.79568714,0.795696,0.795726756
157,186,Uganda,UGA,0.58185893,0.58184886,0.58183885,0.5818289,0.5818194,0.581838988
158,187,Ukraine,UKR,0.52136177,0.5213581,0.5213512,0.5213445,0.5213342,0.521349954
159,188,United Arab Emirates,ARE,0.7465757,0.7481095,0.7493856,0.7506281,0.752012,0.74934218
160,189,United Kingdom,GBR,1.0946536,1.0945989,1.0945523,1.0945084,1.0944765,1.09455794
161,190,United States,USA,0.60166377,0.601451,0.60123175,0.601198,0.6012978,0.601368464
162,191,United States Virgin Islands,VIR,0.92012906,0.9199714,0.91980815,0.91964185,0.91947335,0.919804762
163,192,Uruguay,URY,0.9842219,0.98426104,0.98430365,0.98432493,0.9843416,0.984290624
164,193,Uzbekistan,UZB,0.511355,0.5113455,0.51133406,0.51132166,0.5113078,0.511332804
165,194,Vanuatu,VUT,0.2665026,0.26650444,0.26650903,0.26651546,0.26652375,0.266511056
166,195,Venezuela,VEN,0.8286311,0.82915395,0.83011013,0.8305175,0.83046305,0.829775146
167,196,Vietnam,VNM,0.33614492,0.33613375,0.33612254,0.33611208,0.33610305,0.336123268
168,197,Yemen,YEM,0.7258912,0.7259184,0.7259489,0.7259674,0.72597986,0.725941152
169,198,Zambia,ZMB,0.5744896,0.5744818,0.57447296,0.5744636,0.5744539,0.574472372
170,199,Zimbabwe,ZWE,0.5385956,0.5385927,0.5385891,0.53858507,0.5385804,0.538588574
